DMU,INPUT1,INPUT2,OUTPUT1,OUTPUT2
Metropolitana de Belo Horizonte,11888114,2331023,14219133,0.09
Triângulo Mineiro/Alto Paranaíba,13695584,2412603,16108186,0.12
Sul/Sudoeste de Minas,6944355,1310393,8254750,0.14
Zona da Mata,6612894,1036361,7649254,0.10
Vale do Rio Doce,3719451,662832,4382283,0.10
Oeste de Minas,8123557,1187569,9311125,0.13
Norte de Minas,1277480,250061,1527543,0.12
Noroeste de Minas,2232550,432759,2665310,0.14
Campo das Vertentes,804304,126932,931235,0.12
Central Mineira,3320169,537125,3857296,0.10
Jequitinhonha,347799,76250,424048,0.13
Vale do Mucuri,828996,218422,1047419,0.12
