DMU,INPUT1,INPUT2,OUTPUT1,OUTPUT2
Metropolitana de Belo Horizonte,9717832,1988796,11706628,0.08
Triângulo Mineiro/Alto Paranaíba,10401545,1904272,12305815,0.11
Sul/Sudoeste de Minas,5492216,1057533,6549746,0.11
Zona da Mata,5140203,841166,5981370,0.11
Vale do Rio Doce,2854100,542938,3397041,0.09
Oeste de Minas,6276339,966009,7242348,0.11
Norte de Minas,954034,199275,1153309,0.10
Noroeste de Minas,1551552,324663,1876215,0.12
Campo das Vertentes,637231,97262,734492,0.14
Central Mineira,2479522,406778,2886300,0.10
Jequitinhonha,290127,61258,351385,0.10
Vale do Mucuri,666331,175503,841835,0.08
