DMU,INPUT1,INPUT2,INPUT3,OUTPUT1,OUTPUT2
Metropolitana de Belo Horizonte,693583,171,11706628,240041,112619
Triângulo Mineiro/Alto Paranaíba,746730,176,12305815,231596,84275
Sul/Sudoeste de Minas,452938,148,6549746,365430,139513
Zona da Mata,438097,171,5981370,223661,82124
Vale do Rio Doce,260344,110,3397041,158554,49450
Oeste de Minas,481653,149,7242348,219858,71392
Norte de Minas,98336,41,1153309,81150,22842
Noroeste de Minas,128664,29,1876215,58413,24170
Campo das Vertentes,55928,23,734492,33157,11525
Central Mineira,204048,32,2886300,122866,45650
Jequitinhonha,23196,7,351385,13059,4797
Vale do Mucuri,57236,34,841835,29706,10095
