DMU,INPUT1,OUTPUT1,OUTPUT2
Metropolitana de Belo Horizonte,957094,217399,211842
Triângulo Mineiro/Alto Paranaíba,1008418,311129,299863
Sul/Sudoeste de Minas,559426,191527,180916
Zona da Mata,588971,111090,106550
Vale do Rio Doce,343302,69434,68191
Oeste de Minas,672042,157132,150238
Norte de Minas,126812,32143,29833
Noroeste de Minas,174608,59439,58423
Campo das Vertentes,76707,16216,15262
Central Mineira,279041,58335,54941
Jequitinhonha,30736,9929,9767
Vale do Mucuri,72311,27373,27165
