DMU,INPUT1,INPUT2,INPUT3,OUTPUT1,OUTPUT2
Metropolitana de Belo Horizonte,1174490,201,14219133,277191,122059
Triângulo Mineiro/Alto Paranaíba,1319538,196,16108186,282310,98238
Sul/Sudoeste de Minas,750945,165,8254750,449910,160224
Zona da Mata,700059,205,7649254,264422,94087
Vale do Rio Doce,412735,145,4382283,170635,54187
Oeste de Minas,829166,179,9311125,263027,77978
Norte de Minas,158949,48,1527543,87562,24623
Noroeste de Minas,234041,44,2665310,77566,29284
Campo das Vertentes,92918,23,931235,38328,13542
Central Mineira,337367,42,3857296,135671,50924
Jequitinhonha,40661,24,424048,14922,5664
Vale do Mucuri,99681,35,1047419,35824,11731
