DMU,INPUT1,OUTPUT1,OUTPUT2
Metropolitana de Belo Horizonte,533798,159788,151360
Triângulo Mineiro/Alto Paranaíba,531699,215032,199731
Sul/Sudoeste de Minas,325469,127474,114498
Zona da Mata,339473,98625,88035
Vale do Rio Doce,205457,54892,49970
Oeste de Minas,364620,117031,107342
Norte de Minas,76227,22118,20195
Noroeste de Minas,86428,42244,37988
Campo das Vertentes,41432,14501,13400
Central Mineira,160429,43621,39319
Jequitinhonha,17478,5723,6104
Vale do Mucuri,42010,15232,14735
